,initial_value,final_value,total_return,cagr,volatility,max_drawdown,years
traditional,1000000.0,586994.3530165758,-0.41300564698342423,-0.040151679130811524,0.09287430256241204,0.2871153202718599,13
structured,1000000.0,652376.112288927,-0.347623887711073,-0.03232255323609312,0.1021152442616545,0.22551262965426225,13
