,initial_value,final_value,total_return,cagr,volatility,max_drawdown,years
traditional,1000000.0,1223154.1557334368,0.2231541557334369,0.00963819374942565,0.09373762814682396,0.2717568989682662,21
structured,1000000.0,1424089.287527939,0.4240892875279392,0.0169773867500842,0.10203101856117047,0.25814187504421426,21
