,initial_value,final_value,total_return,cagr,volatility,max_drawdown,years
traditional,1000000.0,1358336.3725931933,0.3583363725931934,0.023838208927134286,0.0990659227332395,0.07548143871406861,13
structured,1000000.0,1410631.0257502531,0.410631025750253,0.026817687183241734,0.09694335374918969,0.06361719430773363,13
