portfolio,year,portfolio_value,annual_return,withdrawal,sp500_value,bonds_value,sp500_allocation,bonds_allocation,notes_value,notes_allocation
structured,2008,703072.1004549874,-0.29692789954501264,78119.12227277637,221451.14498073584,288532.59673869953,0.31497643675154446,0.41038834644694056,193088.35873555188,0.27463521680151487
structured,2009,750035.7145020314,0.06679772105400272,83337.30161133684,312469.9092597882,196732.85453107208,0.41660670714493275,0.26229798225233614,240832.95071117117,0.32109531060273117
structured,2010,748038.183041789,-0.002663248458199985,83115.35367130989,304527.8281276194,215062.5418725281,0.4071019836036993,0.2875020911339143,228447.8130416415,0.3053959252623864
structured,2011,689241.3722215706,-0.07860134970801846,76582.37469128563,269285.17248055566,217985.8903197319,0.39069792286640115,0.3162693057979345,201970.30942128302,0.29303277133566435
structured,2012,685101.1790493629,-0.006006884292019454,76122.35322770699,281390.0185151986,191568.12943741848,0.4107276809910787,0.2796202010675793,212143.03109674575,0.30965211794134195
structured,2013,743580.4293634796,0.0853585603155167,82620.04770705331,319643.8880002389,181078.98125907144,0.429871302925308,0.24352305965620805,242857.56010416936,0.32660563741848414
structured,2014,734296.2237693812,-0.01248581219659839,81588.46930770902,298180.42307359306,212447.03530852037,0.40607647625223514,0.28932061534779613,223668.7653872678,0.3046029083999688
structured,2015,660054.0463436567,-0.10110657664098455,73339.33848262852,262425.8986053214,199368.1673206024,0.39758244049713704,0.30204824654131657,198259.9804177329,0.30036931296154645
structured,2016,638532.975853755,-0.032605012588161286,70948.108428195,260276.52574038506,182708.36066405437,0.4076164201110843,0.2861377056052005,195548.08944931554,0.3062458742837151
structured,2017,661715.9103834521,0.03630655801088456,73523.99004260579,274512.9094629763,179299.1389592598,0.4148500967792979,0.27096090050994737,207903.86196121588,0.3141890027107546
structured,2018,580893.1881900649,-0.12214111966350027,64543.68757667388,223359.46905115913,178870.42333537366,0.3845103946684209,0.3079230863296822,178663.29580353206,0.3075665190018969
structured,2019,640222.2180876925,0.10213414635224738,71135.80200974362,269511.81516315136,170696.3048532228,0.42096604514627417,0.2666204015272744,200014.0980713184,0.31241355332645154
structured,2020,652376.112288927,0.018983868191168707,72486.23469876967,267953.5641283581,186196.2681250729,0.41073478792504553,0.2854124555109546,198226.28003549587,0.30385275656399974
traditional,2008,716886.8464560364,-0.2831131535439636,79654.09405067073,332176.7174711037,384710.1289849327,0.46336003947238646,0.5366399605276134,,
traditional,2009,745379.1425167365,0.03974448157551369,82819.90472408185,477914.5006252347,267464.6418915019,0.6411696724053474,0.3588303275946527,,
traditional,2010,738925.5433023679,-0.0086581430123982,82102.83814470755,453955.76573234156,284969.77757002634,0.6143457481569061,0.3856542518430939,,
traditional,2011,686114.2565339325,-0.07147037647719401,76234.91739265916,399007.08992421255,287107.16660971986,0.5815461289784163,0.4184538710215835,,
traditional,2012,674435.3140016333,-0.017021862497506035,74937.2571112926,420170.0111109119,254265.30289072133,0.6229952708405989,0.377004729159401,,
traditional,2013,709681.2119716521,0.05225986427207374,78853.46799685025,472001.3610353408,237679.85093631124,0.6650892725820036,0.3349107274179963,,
traditional,2014,697228.9366062863,-0.017546294244947802,77469.88184514293,426879.9359355773,270349.00067070907,0.6122521793392367,0.38774782066076335,,
traditional,2015,626173.3627957896,-0.10191139535366223,69574.81808842106,373767.95147458627,252405.41132120334,0.5969080987504113,0.40309190124958877,,
traditional,2016,601481.279822368,-0.03943330144734114,66831.25331359645,370374.73283242463,231106.54698994337,0.6157710061097916,0.3842289938902084,,
traditional,2017,613069.3528243713,0.019265891376412547,68118.8169804857,387875.9179761675,225193.4348482038,0.6326786948152733,0.3673213051847267,,
traditional,2018,531369.3712890794,-0.13326384879443942,59041.04125434216,310408.53708437685,220960.8342047026,0.5841671610302622,0.41583283896973783,,
traditional,2019,577993.5854216143,0.08774351073233033,64221.50949129048,369802.03940185823,208191.54601975606,0.6398030163814156,0.3601969836185844,,
traditional,2020,586994.3530165758,0.015572435096136816,65221.59477961953,362863.32358080527,224131.02943577047,0.6181717451216411,0.38182825487835886,,
