,initial_value,final_value,total_return,cagr,volatility,max_drawdown,years
traditional,1000000.0,1406054.7571145662,0.40605475711456607,0.018098016338950584,0.10218575737652656,0.23532069711356124,19
structured,1000000.0,1577804.7628950058,0.5778047628950058,0.024292177268627757,0.10092520485969075,0.2356564261813468,19
