,initial_value,final_value,total_return,cagr,volatility,max_drawdown,years
traditional,1000000.0,1358336.3725931933,0.3583363725931934,0.023838208927134286,0.0990659227332395,0.07548143871406861,13
structured,1000000.0,1509633.2654293317,0.5096332654293316,0.03218927654816728,0.10892292721243146,0.06361719430773352,13
