,initial_value,final_value,total_return,cagr,volatility,max_drawdown,years
traditional,100000.0,89678.19334419255,-0.10321806655807453,-0.03566273378166762,0.1516457655496744,0,3
structured,100000.0,90784.13030338271,-0.09215869696617285,-0.03171475837933013,0.16817170324757297,0,3
