,initial_value,final_value,total_return,cagr,volatility,max_drawdown,years
traditional,1000000.0,942569.4330987111,-0.05743056690128889,-0.0024613697373397914,0.10132593505708008,0.3302767793647546,24
structured,1000000.0,1161124.57046998,0.16112457046997997,0.006243954081783132,0.10744262309720012,0.3177558263223929,24
