portfolio,year,portfolio_value,annual_return,withdrawal,sp500_value,bonds_value,sp500_allocation,bonds_allocation,notes_value,notes_allocation
structured,2008,778743.5738186531,-0.2212564261813469,32447.64890911055,236214.55464611822,307768.10318794614,0.3033277738496315,0.39521109840916185,234760.91598458865,0.3014611277412065
structured,2009,872198.3193452152,0.1200070840627252,36341.59663938397,369174.3648145122,232434.30633594445,0.42326883304666557,0.2664924950903823,270589.64819475857,0.3102386718629521
structured,2010,919552.5471473206,0.054292959240801464,38314.68946447169,377736.5509418571,266763.7414393316,0.41078299670169943,0.2901016828966422,275052.2547661318,0.29911532040165834
structured,2011,903759.4408683679,-0.017174773021886303,37656.64336951533,353096.93631817144,285831.37097176816,0.39069792286640115,0.3162693057979345,264831.1335784283,0.29303277133566435
structured,2012,948041.5707467743,0.04899769548836841,39501.73211444893,393567.2210808345,267937.493832128,0.4151370923226719,0.28262209390361764,286536.85583381186,0.30224081377371054
structured,2013,1079793.8436604582,0.1389730967281344,44991.41015251909,471810.7093103583,267281.82767247444,0.4369451743778597,0.24753042373940534,340701.30667762563,0.31552440188273506
structured,2014,1129977.8336278207,0.04647552888173623,47082.409734492525,461871.05512077024,329073.0335137004,0.4087434650270282,0.2912207865681786,339033.7449933501,0.30003574840479325
structured,2015,1083444.9527354834,-0.041180348417050205,45143.53969731181,430758.68845287873,327252.64819779235,0.397582440497137,0.30204824654131657,325433.6160848124,0.3003693129615465
structured,2016,1109964.5074804965,0.02447706704254471,46248.521145020684,455712.6430334794,319900.1896374676,0.4105650585782238,0.28820758455025525,334351.67480954935,0.3012273568715208
structured,2017,1217538.0756730589,0.09691622341757844,50730.75315304412,508999.3851471136,332454.8622001285,0.4180562360365914,0.27305500242064,376083.8283258166,0.3088887615427684
structured,2018,1140081.7193359018,-0.0636171943077336,47503.40497232924,438373.2718560994,351057.4816859614,0.38451039466842085,0.30792308632968224,350650.96579384094,0.3075665190018969
structured,2019,1316759.5483922428,0.15496944303190463,54864.98118301012,564217.0824460484,357348.97577794374,0.42848907618323695,0.27138514105651645,395193.4901682507,0.3001257827602466
structured,2020,1410631.0257502531,0.07128976393042064,58776.29273959388,587846.5805544966,408484.3576736305,0.4167259686081601,0.2895756226943722,414300.08752212586,0.29369840869746766
traditional,2008,764679.3028864389,-0.23532069711356107,31861.637620268288,354321.8319691773,410357.4709172615,0.46336003947238646,0.5366399605276134,,
traditional,2009,848075.8243745981,0.10906078034721478,35336.49268227492,543760.4984891559,304315.32588544214,0.6411696724053473,0.35883032759465266,,
traditional,2010,896781.9334419257,0.0574313141201086,37365.91389341357,550934.1678339767,345847.76560794906,0.6143457481569062,0.3856542518430939,,
traditional,2011,888201.1637769442,-0.009568401575673846,37008.381824039345,516529.9485486063,371671.2152283379,0.5815461289784164,0.41845387102158366,,
traditional,2012,931287.8140768086,0.048510013335993474,38803.658919867026,580187.9039613308,351099.91011547786,0.6229952708405989,0.37700472915940103,,
traditional,2013,1045287.2414279454,0.12241052189021184,43553.63505949773,695209.3310405617,350077.910387384,0.6650892725820039,0.3349107274179964,,
traditional,2014,1095409.4121806517,0.04795061947205581,45642.05884086048,670666.7998763161,424742.61230433563,0.6122521793392366,0.38774782066076346,,
traditional,2015,1049359.6912019055,-0.04203882171057316,43723.32046674607,626371.2981806481,422988.3930212575,0.5969080987504113,0.40309190124958877,,
traditional,2016,1075178.6391168553,0.02460447845616942,44799.10996320231,662063.8323567426,413114.8067601128,0.6157710061097916,0.3842289938902084,,
traditional,2017,1168952.441587541,0.0872169508015066,48706.35173281421,739571.3050447325,429381.13654280856,0.6326786948152734,0.36732130518472667,,
traditional,2018,1080718.2295081902,-0.07548143871406865,45029.926229507924,631320.1000054507,449398.12950273947,0.5841671610302621,0.4158328389697379,,
traditional,2019,1253913.8571495116,0.16025974478115246,52246.41071456298,802257.8680867129,451655.9890627986,0.6398030163814156,0.36019698361858443,,
traditional,2020,1358336.3725931933,0.08327726410254588,56597.34885804972,839685.1659081338,518651.20668505924,0.618171745121641,0.38182825487835886,,
