Date,^GSPC
1976-12-31,107.45999908447266
1977-12-31,95.0999984741211
1978-12-31,96.11000061035156
1979-12-31,107.94000244140625
1980-12-31,135.75999450683594
1981-12-31,122.55000305175781
1982-12-31,140.63999938964844
1983-12-31,164.92999267578125
1984-12-31,167.24000549316406
1985-12-31,211.27999877929688
1986-12-31,242.1699981689453
1987-12-31,247.0800018310547
1988-12-31,277.7200012207031
1989-12-31,353.3999938964844
1990-12-31,330.2200012207031
1991-12-31,417.0899963378906
1992-12-31,435.7099914550781
1993-12-31,466.45001220703125
1994-12-31,459.2699890136719
1995-12-31,615.9299926757812
1996-12-31,740.739990234375
1997-12-31,970.4299926757812
1998-12-31,1229.22998046875
1999-12-31,1469.25
2000-12-31,1320.280029296875
2001-12-31,1148.0799560546875
2002-12-31,879.8200073242188
2003-12-31,1111.9200439453125
2004-12-31,1211.9200439453125
2005-12-31,1248.2900390625
2006-12-31,1418.300048828125
2007-12-31,1468.3599853515625
2008-12-31,903.25
2009-12-31,1115.0999755859375
2010-12-31,1257.6400146484375
2011-12-31,1257.5999755859375
2012-12-31,1426.18994140625
2013-12-31,1848.3599853515625
2014-12-31,2058.89990234375
2015-12-31,2043.93994140625
2016-12-31,2238.830078125
2017-12-31,2673.610107421875
2018-12-31,2506.85009765625
2019-12-31,3230.780029296875
2020-12-31,3756.070068359375
2021-12-31,4766.18017578125
2022-12-31,3839.5
2023-12-31,4769.830078125
2024-12-31,5881.6298828125
