Date,^TNX
1976-12-31,0.07612720012664795
1977-12-31,0.07417630528829183
1978-12-31,0.08408387111079307
1979-12-31,0.09432943536389259
1980-12-31,0.11433440006256103
1981-12-31,0.13921365423853616
1982-12-31,0.1300550198459242
1983-12-31,0.11103000022888183
1984-12-31,0.12458112444743574
1985-12-31,0.10619798398786975
1986-12-31,0.07672839990615844
1987-12-31,0.08392679986953734
1988-12-31,0.0884799998474121
1989-12-31,0.08493720020294189
1990-12-31,0.08552399980545045
1991-12-31,0.07862440019607544
1992-12-31,0.07008844613079056
1993-12-31,0.05860908008575439
1994-12-31,0.07069987991333009
1995-12-31,0.06563972115991601
1996-12-31,0.06427621510874228
1997-12-31,0.06338491989135742
1998-12-31,0.052487600097656247
1999-12-31,0.056348520011901854
2000-12-31,0.06018726188039023
2001-12-31,0.04996846779700249
2002-12-31,0.04585587299059308
2003-12-31,0.03999123503962361
2004-12-31,0.04256738088433704
2005-12-31,0.042823680095672605
2006-12-31,0.04791599983215332
2007-12-31,0.04626864530175806
2008-12-31,0.036487984195528296
2009-12-31,0.03248623016334715
2010-12-31,0.03194653385663887
2011-12-31,0.02761015869322277
2012-12-31,0.01785852000236511
2013-12-31,0.023384007934540037
2014-12-31,0.025285912657540942
2015-12-31,0.02133607141082249
2016-12-31,0.018326414367592192
2017-12-31,0.02327537845330409
2018-12-31,0.029136852600659985
2019-12-31,0.021363333264986677
2020-12-31,0.008835256926627027
2021-12-31,0.014404523798397609
2022-12-31,0.029568366519958374
2023-12-31,0.03965036003112793
2024-12-31,0.042071349195071626
